Ticker,Security,Start Date,End Date,Period,Period 2,Currency,DATE 1,Best Div Yld,Best_EV,CUR_MKT_CAP,YEARLY DATA,NET_DEBT,BEST_EPS,BEST_EBITDA
BRK/B,BRK/B US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,#N/A N/A,723101.3891,44561,-411994,3.065,#N/A N/A
BBY,BBY US Equity,44631,44631,D,Q,USD,44631,3.611,#N/A N/A,22754.6553,44561,1002,1.745,780.3
BIO,BIO US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,#N/A N/A,16011.8339,44561,-635.542,3.145,142
TECH,TECH US Equity,44631,44631,D,Q,USD,44631,0.321,#N/A N/A,15748.3037,44561,72.665,1.966,106.467
BIIB,BIIB US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,31272.135,29050.1353,44561,2998.1,4.851,783
BLK,BLK US Equity,44631,44631,D,Q,USD,44631,2.865,#N/A N/A,105123.3357,44561,-5,9.355,2095.333
BK,BK US Equity,44631,44631,D,Q,USD,44631,2.86,#N/A N/A,40355.3117,44561,-87370,0.989,#N/A N/A
BA,BA US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,147769.049,102742.0486,44561,43397,0.609,1787.571
BKNG,BKNG US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,84034.517,82486.85,44561,-2907,7.391,507
BWA,BWA US Equity,44631,44631,D,Q,USD,44631,1.908,11626.264,8715.7638,44561,2579,0.933,568.333
BXP,BXP US Equity,44631,44631,D,Q,USD,44631,3.224,34079.896,19340.1196,44561,12892.899,#N/A N/A,427.857
BSX,BSX US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,65485.42,59494.4205,44561,7600,0.413,856.125
BMY,BMY US Equity,44631,44631,D,Q,USD,44631,3.16,184994.822,150116.8219,44561,28630,1.986,6261
AVGO,AVGO US Equity,44631,44631,D,Q,USD,44631,2.912,268703.024,235925.2741,44561,29286,7.914,4545.4
BR,BR US Equity,44631,44631,D,Q,USD,44631,1.837,20758.647,16885.3141,44561,4164.7,2.087,398.6
BRO,BRO US Equity,44631,44631,D,Q,USD,44631,0.659,#N/A N/A,17697.7412,44561,1346.454,0.738,313.375
BF/B,BF/B US Equity,44631,44631,D,Q,USD,44631,1.231,30727.503,29205.1032,44561,1515,0.298,221.714
CHRW,CHRW US Equity,44631,44631,D,Q,USD,44631,2.121,14781.165,13168.3647,44561,1968.916,1.489,288.091
CDNS,CDNS US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,39415.56,40188.7598,44561,-608.96,0.831,332
CZR,CZR US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,29828.825,16018.5754,44561,13497,-0.315,720
CPB,CPB US Equity,44631,44631,D,Q,USD,44631,3.619,17438.087,12722.8371,44561,4903,0.62,375.5
COF,COF US Equity,44631,44631,D,Q,USD,44631,1.888,#N/A N/A,53813.1722,44561,21340,5.193,#N/A N/A
CAH,CAH US Equity,44631,44631,D,Q,USD,44631,3.875,16341.45,14565.1174,44561,2482,1.694,748.833
KMX,KMX US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,#N/A N/A,16040.2595,44561,18665.184,1.439,403
CCL,CCL US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,47448.877,19371.6273,44561,25468,-1.031,-275.4
CARR,CARR US Equity,44631,44631,D,Q,USD,44631,1.319,42030.945,36866.9449,44561,7366,0.461,689.5
CTLT,CTLT US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,20419.127,17217.7943,44561,3333,0.951,325
CAT,CAT US Equity,44631,44631,D,Q,USD,44631,2.223,116944.83,115124.83,44561,1372,2.801,2566.75
CBOE,CBOE US Equity,44631,44631,D,Q,USD,44631,1.73,13029.648,12152.6482,44561,1049.5,1.478,243.75
